fighter,weight_class
Charles Jourdain,Lightweight
Michel Pereira,Welterweight
Trevin Giles,Middleweight
Ryan Spann,Light Heavyweight
Kurt Holobaugh,Lightweight
Priscila Cachoeira,Women's Flyweight
Carlos Huachin,Bantamweight
Viviane Araujo,Women's Bantamweight
Serghei Spivac,Heavyweight
Kyle Prepolec,Welterweight
Cole Smith,Bantamweight
Thomas Gifford,Lightweight
Takashi Sato,Welterweight
Virna Jandiroba,Women's Strawweight
Mike Davis,Lightweight
Jodie Esquibel,Women's Strawweight
Antonina Shevchenko,Women's Flyweight
Alen Amedovski,Middleweight
Seungwoo Choi,Featherweight
Alex Da Silva,Lightweight
Michal Oleksiejczuk,Light Heavyweight
Rafael Fiziev,Lightweight
Zelim Imadaev,Welterweight
Khalid Taha,Bantamweight
Poliana Botelho,Women's Flyweight
Randy Costa,Bantamweight
Casey Kenney,Bantamweight
Maryna Moroz,Women's Flyweight
Anthony Pettis,Welterweight
Jesus Pinedo,Lightweight
JJ Aldrich,Women's Flyweight
Bobby Moffett,Featherweight
Chris Gutierrez,Bantamweight
Jordan Espinosa,Flyweight
Dominick Reyes,Light Heavyweight
Jordan Rinaldi,Featherweight
Saparbeg Safarov,Light Heavyweight
Omari Akhmedov,Middleweight
Yana Kunitskaya,Women's Bantamweight
Jeff Hughes,Heavyweight
Matt Schnell,Bantamweight
Hannah Cifers,Women's Strawweight
Lucie Pudilova,Women's Flyweight
Carlo Pedersoli,Welterweight
Kron Gracie,Featherweight
Manny Bermudez,Bantamweight
Marcos Mariano,Lightweight
Nadia Kassem,Women's Flyweight
Raulian Paiva,Flyweight
Sarah Frota,Women's Strawweight
Anthony Hernandez,Middleweight
Taila Santos,Women's Flyweight
Felipe Colares,Featherweight
Said Nurmagomedov,Bantamweight
Rogerio Bontorin,Flyweight
TJ Dillashaw,Flyweight
Rachael Ostovich,Women's Flyweight
Karl Roberson,Light Heavyweight
Amanda Nunes,Women's Featherweight
Ryan Hall,Lightweight
Drakkar Klose,Lightweight
Jordan Griffin,Featherweight
Joanna Jedrzejczyk,Women's Flyweight
Kyle Nelson,Lightweight
Justin Frazier,Heavyweight
Macy Chiasson,Women's Featherweight
Michel Batista,Heavyweight
Leah Letson,Women's Featherweight
Darrell Horcher,Lightweight
Ricky Rainey,Welterweight
David Zawada,Welterweight
Rashad Coulter,Light Heavyweight
Martin Day,Bantamweight
Bartosz Fabinski,Welterweight
Hector Aldana,Welterweight
Anderson Dos Santos,Featherweight
Joby Sanchez,Bantamweight
Don Madge,Lightweight
Jessin Ayari,Lightweight
Conor McGregor,Lightweight
Jalin Turner,Welterweight
Luigi Vendramini,Welterweight
Jin Soo Son,Bantamweight
Marcin Prachnio,Light Heavyweight
Jordan Johnson,Middleweight
Stefan Sekulic,Welterweight
Terrion Ware,Bantamweight
Brandon Davis,Featherweight
Frank Camacho,Welterweight
Craig White,Welterweight
Lucie Pudilova,Women's Bantamweight
Tim Williams,Middleweight
Jose Torres,Flyweight
Matheus Nicolau,Flyweight
Abu Azaitar,Middleweight
Said Nurmagomedov,Flyweight
Raoni Barcelos,Featherweight
Joe Giannetti,Lightweight
Brad Katona,Featherweight
Richie Smullen,Lightweight
Allan Zuniga,Lightweight
Melinda Fabian,Women's Flyweight
Mike Jackson,Welterweight
Daniel Spitz,Heavyweight
Lauren Murphy,Women's Flyweight
Tom Breese,Middleweight
Felipe Silva,Lightweight
James Bochnovic,Middleweight
Dmitry Sosnovskiy,Heavyweight
Yana Kunitskaya,Women's Featherweight
Ketlen Vieira,Women's Bantamweight
Brian Camozzi,Welterweight
Jeremy Kennedy,Featherweight
Cory Sandhagen,Featherweight
Galore Bofando,Welterweight
Ryan Janes,Middleweight
Emily Whitmire,Women's Flyweight
Bharat Kandare,Featherweight
Hu Yaozong,Heavyweight
Shane Young,Catch Weight
Ashkan Mokhtarian,Flyweight
Nadia Kassem,Women's Strawweight
Michel Quinones,Lightweight
Marcel Fortuna,Light Heavyweight
Georges St-Pierre,Middleweight
Christian Colombo,Heavyweight
Jonathan Wilson,Middleweight
Ramazan Emeev,Middleweight
Marco Beltran,Flyweight
Yushin Okami,Light Heavyweight
Chanmi Jeon,Women's Strawweight
Alex Reyes,Welterweight
Zu Anyanwu,Heavyweight
Mads Burnell,Lightweight
Abdul-Kerim Edilov,Light Heavyweight
Andrew Holbrook,Lightweight
Tonya Evinger,Women's Featherweight
Renan Barao,Catch Weight
Daniel Teymur,Lightweight
Amanda Lemos,Women's Bantamweight
Terrion Ware,Featherweight
James Bochnovic,Light Heavyweight
Jesse Taylor,Welterweight
Nick Roehrick,Light Heavyweight
Tom Gallicchio,Welterweight
CB Dollaway,Light Heavyweight
Michel Quinones,Featherweight
Carls John De Tomas,Flyweight
Jimmy Wallhead,Welterweight
Alex Nicholson,Middleweight
Michael McBride,Lightweight
Cindy Dandois,Women's Bantamweight
Joe Proctor,Welterweight
Rashid Magomedov,Lightweight
Augusto Mendes,Bantamweight
Nathan Coy,Welterweight
Marlon Vera,Catch Weight
Davi Ramos,Welterweight
Alessandro Ricci,Lightweight
Germaine de Randamie,Women's Featherweight
Marcel Fortuna,Heavyweight
Chris Gruetzemacher,Featherweight
JC Cottrell,Lightweight
Fredy Serrano,Flyweight
Sean O'Connell,Light Heavyweight
Brendan O'Reilly,Lightweight
Alexander Volkanovski,Lightweight
Jonathan Meunier,Welterweight
Geane Herrera,Flyweight
Justin Scoggins,Bantamweight
Alexander Yakovlev,Welterweight
Milana Dudieva,Women's Bantamweight
Thiago Alves,Catch Weight
Heather Jo Clark,Women's Strawweight
Joe Soto,Catch Weight
Jason Novelli,Lightweight
Chris Avila,Featherweight
Russell Doane,Featherweight
Lina Lansberg,Catch Weight
Rick Glenn,Lightweight
Leonardo Augusto Leleco,Middleweight
Joey Gomez,Bantamweight
Veronica Macedo,Women's Bantamweight
Horacio Gutierrez,Featherweight
Bojan Mihajlovic,Heavyweight
Cristina Stanciu,Women's Strawweight
Cody Pfister,Lightweight
Enrique Marin,Lightweight
Fernando Bruno,Featherweight
Anton Zafir,Welterweight
Mehdi Baghdad,Lightweight
Dileno Lopes,Bantamweight
Jerrod Sanders,Bantamweight
Alvaro Herrera,Welterweight
Leslie Smith,Catch Weight
Anna Elmose,Women's Bantamweight
Dominic Waters,Welterweight
Willie Gates,Flyweight
Clint Hester,Light Heavyweight
Darrell Horcher,Catch Weight
Bojan Velickovic,Middleweight
Rin Nakai,Women's Bantamweight
Chris Dempsey,Middleweight
Yaotzin Meza,Featherweight
Martin Svensson,Lightweight
Roan Carneiro,Middleweight
Augusto Mendes,Catch Weight
Alex Nicholson,Light Heavyweight
Levan Makashvili,Featherweight
Felipe Olivieri,Lightweight
Luke Sanders,Featherweight
Elvis Mutapcic,Light Heavyweight
Tony Sims,Lightweight
Masanori Kanehara,Bantamweight
Marcin Wrzosek,Lightweight
Konstantin Erokhin,Heavyweight
Abner Lloveras,Lightweight
Leo Kuntz,Lightweight
Dong Hyun Ma,Welterweight
Diego Sanchez,Featherweight
Enrique Marin,Welterweight
Enrique Barzola,Lightweight
Danny Martinez,Flyweight
Steve Montgomery,Middleweight
Steve Kennedy,Welterweight
Gasan Umalatov,Welterweight
Matheus Nicolau,Bantamweight
Jon Delos Reyes,Flyweight
Ericka Almeida,Women's Strawweight
Chico Camus,Flyweight
Roger Zapata,Welterweight
Nazareno Malegarie,Lightweight
Chris Beal,Flyweight
Sirwan Kakai,Bantamweight
Fernando Bruno,Lightweight
Dominique Steele,Middleweight
Vaughan Lee,Flyweight
Hans Stringer,Light Heavyweight
Paul Redmond,Featherweight
Ildemar Alcantara,Middleweight
Cezar Ferreira,Welterweight
Steve Bosse,Middleweight
Joe Merritt,Welterweight
Lewis Gonzalez,Welterweight
Tony Sims,Welterweight
Antonio Dos Santos,Middleweight
Ulka Sasaki,Bantamweight
Justin Edwards,Lightweight
Leonardo Morales,Bantamweight
Urijah Faber,Featherweight
Lisa Ellis,Women's Strawweight
Fabio Maldonado,Catch Weight
Shane Campbell,Catch Weight
Bryan Barberena,Lightweight
Mickael Lebout,Welterweight
Rocky Lee,Featherweight
Justin Jones,Middleweight
Shayna Baszler,Women's Bantamweight
Cain Carrizosa,Lightweight
Roger Narvaez,Middleweight
Josh Copeland,Heavyweight
Alex Torres,Featherweight
Josh Shockley,Lightweight
Patrick Walsh,Middleweight
Rodrigo de Lima,Lightweight
Nick Diaz,Middleweight
Andy Enz,Middleweight
Stanislav Nedkov,Light Heavyweight
Shane Howell,Flyweight
Mats Nilsson,Welterweight
Mike Rhodes,Welterweight
Garett Whiteley,Lightweight
Justin Jones,Light Heavyweight
Matt Hobar,Bantamweight
Chris Heatherly,Welterweight
Leonardo Morales,Featherweight
Humberto Brown,Featherweight
Jorge de Oliveira,Welterweight
Rodolfo Rubio,Featherweight
Tim Gorman,Bantamweight
Guto Inocente,Light Heavyweight
Ernest Chavez,Featherweight
Takenori Sato,Welterweight
Dashon Johnson,Featherweight
Tateki Matsuda,Bantamweight
Damon Jackson,Lightweight
Clay Collard,Catch Weight
Jianping Yang,Featherweight
Danny Mitchell,Welterweight
Jack May,Heavyweight
Tiago Trator,Lightweight
Gilbert Burns,Welterweight
Mike King,Middleweight
Leonardo Mafra,Welterweight
Jerrod Sanders,Lightweight
Tina Lahdemaki,Women's Strawweight
Guto Inocente,Heavyweight
Juan Puig,Lightweight
Daniel Spohn,Light Heavyweight
Alexis Dufresne,Catch Weight
Keith Berish,Light Heavyweight
Guilherme Vasconcelos,Middleweight
Andrew Craig,Middleweight
Dashon Johnson,Lightweight
Rodrigo de Lima,Welterweight
Ian Entwistle,Featherweight
Jason High,Lightweight
Lance Benoist,Welterweight
Roger Narvaez,Light Heavyweight
Fabio Maldonado,Heavyweight
Antonio Carlos Junior,Heavyweight
Warlley Alves,Middleweight
Wagner Silva,Middleweight
Richardson Moreira,Heavyweight
Sean Strickland,Middleweight
Aaron Phillips,Featherweight
Ben Wall,Lightweight
Olivier Aubin-Mercier,Welterweight
Mike de la Torre,Lightweight
Vik Grujic,Middleweight
Mats Nilsson,Middleweight
Claudio Silva,Middleweight
Zhang Lipeng,Welterweight
Ivan Menjivar,Featherweight
Yui Chul Nam,Lightweight
Wilson Reis,Bantamweight
Nikita Krylov,Heavyweight
Brian Houston,Middleweight
Shunichi Shimizu,Bantamweight
Will Chope,Featherweight
Quinn Mulhern,Lightweight
Dave Galera,Bantamweight
Jon Delos Reyes,Bantamweight
Jessica Rakoczy,Women's Bantamweight
Peggy Morgan,Women's Bantamweight
Chael Sonnen,Light Heavyweight
Nico Musoke,Middleweight
Adlan Amagov,Welterweight
Kyoji Horiguchi,Bantamweight
Joey Beltran,Light Heavyweight
David Mitchell,Welterweight
Elias Silverio,Welterweight
Ivan Jorge,Welterweight
Brian Melancon,Welterweight
Papy Abedi,Middleweight
John Howard,Middleweight
Sheila Gaff,Women's Bantamweight
Josh Clopton,Featherweight
Bristol Marunde,Welterweight
Roger Gracie,Middleweight
John Maguire,Lightweight
Leonardo Santos,Welterweight
Eddie Mendez,Middleweight
Joao Zeferino,Middleweight
John Cholish,Lightweight
Iliarde Santos,Bantamweight
Roger Hollett,Light Heavyweight
Azamat Gashimov,Flyweight
Jeremy Larsen,Lightweight
Cody McKenzie,Featherweight
Gilbert Smith,Middleweight
Collin Hart,Middleweight
Jimmy Quinlan,Middleweight
Pablo Garza,Featherweight
Adam Cella,Middleweight
Besam Yousef,Welterweight
Quinn Mulhern,Welterweight
Issei Tamura,Bantamweight
Lavar Johnson,Heavyweight
Matt Grice,Featherweight
Caros Fodor,Lightweight
Brock Jardine,Welterweight
Jorge Santiago,Welterweight
Stanislav Nedkov,Middleweight
Motonobu Tezuka,Bantamweight
Ulysses Gomez,Flyweight
Jay Hieron,Welterweight
Sean Spencer,Middleweight
Milton Vieira,Featherweight
Pedro Nobre,Bantamweight
Ildemar Alcantara,Light Heavyweight
CJ Keith,Lightweight
Byron Bloodworth,Bantamweight
Mike Ricci,Welterweight
Shane del Rosario,Heavyweight
Marcos Vinicius,Bantamweight
Nick Catone,Welterweight
John Cofer,Lightweight
Manuel Rodriguez,Welterweight
Mike Wilkinson,Lightweight
Chad Griggs,Light Heavyweight
Azamat Gashimov,Bantamweight
Tom DeBlass,Middleweight
Joey Gambino,Featherweight
Renee Forte,Welterweight
Carlo Prater,Lightweight
Gunnar Nelson,Catch Weight
Tommy Hayden,Featherweight
Eiji Mitsuoka,Featherweight
Josh Ferguson,Flyweight
Yoislandy Izquierdo,Lightweight
Sergio Moraes,Middleweight
Francisco Trinaldo,Middleweight
Hugo Viana,Featherweight
Leonardo Mafra,Middleweight
Wagner Campos,Featherweight
Luis Ramos,Welterweight
Carlos Eduardo Rocha,Welterweight
Jared Papazian,Bantamweight
Bernardo Magalhaes,Lightweight
Pat Schilling,Featherweight
Chris Tickle,Lightweight
Chris Saunders,Lightweight
Sam Sicilia,Lightweight
Jorge Lopez,Welterweight
Nick Denis,Bantamweight
Eddie Yagin,Featherweight
Chad Griggs,Heavyweight
Tom DeBlass,Light Heavyweight
Eric Wisely,Featherweight
Eiji Mitsuoka,Lightweight
Issei Tamura,Featherweight
Vagner Rocha,Featherweight
Henry Martinez,Welterweight
Jon Olav Einemo,Heavyweight
George Roop,Featherweight
Eric Schafer,Middleweight
Tommy Hayden,Lightweight
Anthony Johnson,Middleweight
Carlo Prater,Welterweight
Ednaldo Oliveira,Heavyweight
Dennis Hallman,Lightweight
Stephen Bass,Featherweight
Josh Ferguson,Bantamweight
Dustin Neace,Featherweight
Nick Pace,Bantamweight
Shamar Bailey,Lightweight
Darren Uyenoyama,Bantamweight
Paul Bradley,Welterweight
Matt Lucas,Light Heavyweight
Edward Faaloloto,Lightweight
Demetrious Johnson,Bantamweight
Ricardo Romero,Light Heavyweight
Donny Walker,Bantamweight
Mike Lullo,Featherweight
Ian Loveland,Bantamweight
Karlos Vemola,Light Heavyweight
TJ O'Brien,Lightweight
Jason Reinhardt,Bantamweight
Paul Bradley,Middleweight
Javier Vazquez,Featherweight
Curt Warburton,Lightweight
James Head,Middleweight
Aaron Rosa,Heavyweight
Tony Ferguson,Welterweight
Shamar Bailey,Welterweight
Charlie Valencia,Bantamweight
Kyle Watson,Lightweight
Nick Catone,Catch Weight
Raphael Assuncao,Featherweight
Jason Reinhardt,Featherweight
Antonio Banuelos,Bantamweight
Gabe Ruediger,Lightweight
Willamy Freire,Lightweight
Amilcar Alves,Welterweight
Marcus Davis,Lightweight
Greg Soto,Welterweight
Antonio McKee,Lightweight
Aaron Wilkinson,Lightweight
Tyler Toner,Featherweight
Maiquel Falcao,Middleweight
Alexandre Ferreira,Light Heavyweight
Mark Scanlon,Welterweight
Gilbert Yvel,Heavyweight
Vinicius Queiroz,Heavyweight
Mark Holst,Lightweight
Julio Paulino,Welterweight
James Toney,Heavyweight
John Salter,Middleweight
Steve Steinbeiss,Middleweight
Goran Reljic,Middleweight
Karlos Vemola,Heavyweight
Kris McCray,Middleweight
Seth Baczynski,Middleweight
James Hammortree,Middleweight
Dan Lauzon,Lightweight
Joe Brammer,Lightweight
Renzo Gracie,Welterweight
Mostapha Al-Turk,Heavyweight
Ronys Torres,Lightweight
Lucio Linhares,Middleweight
James Irvin,Middleweight
Chase Gormley,Heavyweight
Anthony Perosh,Heavyweight
Phillipe Nover,Lightweight
Rolles Gracie,Heavyweight
Jay Silva,Middleweight
Jacob Volkmann,Welterweight
Wilson Gouveia,Catch Weight
Houston Alexander,Catch Weight
Marcus Jones,Heavyweight
Darrill Schoonover,Heavyweight
Justin Wren,Heavyweight
Phil Baroni,Welterweight
Razak Al-Hassan,Light Heavyweight
Danillo Villefort,Welterweight
Mike Ciesnolevicz,Light Heavyweight
Frank Lester,Welterweight
Cameron Dollar,Lightweight
Peter Sobotta,Middleweight
Denis Stojnic,Heavyweight
Xavier Foupa-Pokam,Middleweight
Andre Gusmao,Light Heavyweight
Brandon Wolff,Welterweight
David Kaplan,Lightweight
Carmelo Marrero,Light Heavyweight
Matt Horwich,Middleweight
Jesse Sanders,Welterweight
Nissen Osterneck,Middleweight
Joe Vedepo,Middleweight
Tim McKenzie,Middleweight
Mark Munoz,Light Heavyweight
Ryan Madigan,Welterweight
Michael Patt,Light Heavyweight
Brian Cobb,Lightweight
Neil Grove,Heavyweight
Derek Downey,Middleweight
Christian Wellisch,Light Heavyweight
Tom Egan,Welterweight
Alexandre Barros,Welterweight
Antonio Mendes,Light Heavyweight
Ivan Serati,Light Heavyweight
Mike Wessel,Heavyweight
Reese Andy,Light Heavyweight
Dan Evensen,Heavyweight
Shane Primm,Light Heavyweight
Jules Bruchez,Light Heavyweight
John Polakowski,Lightweight
Brodie Farber,Welterweight
Johnny Rees,Welterweight
Josh Hendricks,Heavyweight
Ryan Thomas,Welterweight
Neil Wain,Heavyweight
Jess Liaudin,Lightweight
David Baron,Lightweight
Samy Schiavo,Lightweight
Brad Morris,Light Heavyweight
Jason Lambert,Middleweight
Jesse Taylor,Middleweight
Cale Yarbrough,Middleweight
Johnny Rees,Middleweight
James Giboo,Welterweight
Dante Rivera,Middleweight
Rob Yundt,Middleweight
Kazuhiro Nakamura,Light Heavyweight
Jason Tan,Welterweight
Brad Morris,Heavyweight
Ryan Roberts,Lightweight
Jeff Cox,Lightweight
Tommy Speer,Welterweight
David Bielkheden,Welterweight
John Halverson,Lightweight
Kyle Bradley,Welterweight
Keita Nakamura,Lightweight
Michihiro Omigawa,Lightweight
Alberto Crane,Lightweight
Joe Veres,Lightweight
Colin Robinson,Heavyweight
James Lee,Light Heavyweight
Jordan Radev,Middleweight
Doug Evans,Lightweight
Jared Rollins,Welterweight
Billy Miles,Welterweight
Dan Barrera,Welterweight
Richie Hightower,Welterweight
John Kolosci,Welterweight
Dorian Price,Welterweight
Paul Georgieff,Welterweight
Jason Reinhardt,Lightweight
Luke Caudillo,Lightweight
Jason Black,Lightweight
Diego Saraiva,Lightweight
Scott Junk,Heavyweight
Edilberto de Oliveira,Welterweight
Jason Gilliam,Welterweight
Floyd Sword,Middleweight
Brandon Melendez,Lightweight
Andy Wang,Lightweight
Allen Berube,Lightweight
Brian Geraghty,Lightweight
Hector Ramirez,Light Heavyweight
Stevie Lynch,Welterweight
Chad Reiner,Welterweight
Sean Salmon,Light Heavyweight
Elvis Sinosic,Light Heavyweight
Assuerio Silva,Heavyweight
David Lee,Lightweight
Victor Valimaki,Light Heavyweight
Dennis Siver,Welterweight
Brad Imes,Heavyweight
Josh Haynes,Welterweight
Dokonjonosuke Mishima,Lightweight
Rex Holman,Light Heavyweight
Jason Gilliam,Lightweight
Marvin Eastman,Light Heavyweight
Chris Price,Middleweight
Ross Pointon,Welterweight
Jeff Joslin,Welterweight
Dave Menne,Welterweight
Steve Byrnes,Middleweight
Gleison Tibau,Welterweight
Sherman Pendergarst,Heavyweight
Josh Shockman,Heavyweight
Edwin DeWees,Middleweight
Jeremy Jackson,Welterweight
Gideon Ray,Middleweight
Justin James,Lightweight
Ken Shamrock,Light Heavyweight
Crafton Wallace,Middleweight
Josh Haynes,Middleweight
John Alessio,Welterweight
Mario Neto,Heavyweight
Danny Abbadi,Lightweight
Wes Combs,Light Heavyweight
Cory Walmsley,Light Heavyweight
Yuki Sasaki,Middleweight
Kristof Midoux,Heavyweight
Sammy Morgan,Welterweight
Pat Healy,Welterweight
Joe Jordan,Catch Weight
Gilbert Aldana,Heavyweight
Kurt Pellegrino,Welterweight
Branden Lee Hinkle,Light Heavyweight
Kristian Rothaermel,Light Heavyweight
Justin Levens,Middleweight
Josh Haynes,Light Heavyweight
Ross Pointon,Middleweight
Danny Abbadi,Middleweight
Solomon Hutcherson,Middleweight
Jesse Forbes,Light Heavyweight
Fabiano Scherner,Heavyweight
Rick Davis,Lightweight
Terry Martin,Light Heavyweight
Derrick Noble,Welterweight
Ansar Chalangov,Welterweight
Steve Vigneault,Middleweight
Icho Larenas,Heavyweight
Mike van Arsdale,Light Heavyweight
Mike Whitehead,Light Heavyweight
Aaron Riley,Welterweight
Kevin Jordan,Heavyweight
Jeff Newton,Light Heavyweight
Kit Cope,Welterweight
Kerry Schall,Heavyweight
Sean Gannon,Heavyweight
Dennis Hallman,Middleweight
Keigo Kunihara,Heavyweight
Ron Faircloth,Light Heavyweight
Brock Larson,Middleweight
Jeremy Horn,Light Heavyweight
Brian Gassaway,Welterweight
Bill Mahood,Light Heavyweight
Shonie Carter,Middleweight
Koji Oishi,Welterweight
Travis Wiuff,Light Heavyweight
Jason Miller,Welterweight
John Marsh,Heavyweight
Kenny Florian,Middleweight
Bobby Southworth,Light Heavyweight
Jason Thacker,Middleweight
Chris Sanford,Middleweight
Lodune Sincaid,Middleweight
Alex Schoenauer,Middleweight
Josh Rafferty,Welterweight
James Irvin,Heavyweight
Patrick Cote,Light Heavyweight
Robbie Lawler,Middleweight
Vernon White,Light Heavyweight
Ronald Jhun,Welterweight
Ivan Menjivar,Lightweight
Curtis Stout,Middleweight
Tiki Ghosn,Welterweight
Wes Sims,Heavyweight
Wade Shipp,Heavyweight
Mike Brown,Lightweight
Jeff Curran,Lightweight
Chris Liguori,Middleweight
Nick Agallar,Lightweight
Edwin DeWees,Light Heavyweight
Gerald Strebendt,Lightweight
Eddie Ruiz,Lightweight
Romie Aram,Welterweight
Sean Alvarez,Heavyweight
Richard Crunkilton,Lightweight
Alexandre Dantas,Heavyweight
Travis Wiuff,Heavyweight
Leigh Remedios,Lightweight
James Zikic,Light Heavyweight
Chris Haseman,Light Heavyweight
Nick Serra,Welterweight
Zach Light,Welterweight
Steve Berger,Welterweight
Rodrigo Ruas,Middleweight
Joao Pierini,Lightweight
Paul Creighton,Lightweight
Amar Suloev,Middleweight
Hayato Sakurai,Welterweight
Pat Miletich,Middleweight
Kelly Dullanty,Lightweight
Amar Suloev,Light Heavyweight
Chris Brennan,Welterweight
Homer Moore,Light Heavyweight
Roberto Traven,Heavyweight
Murilo Bustamante,Light Heavyweight
Yves Edwards,Welterweight
Gil Castillo,Middleweight
Fabiano Iha,Lightweight
Yuki Kondo,Light Heavyweight
Paul Rodriguez,Lightweight
Ricardo Almeida,Light Heavyweight
Joey Gilbert,Lightweight
Phil Johns,Welterweight
Mark Robinson,Heavyweight
Kenichi Yamamoto,Welterweight
Yoji Anjo,Middleweight
Daiju Takase,Welterweight
Jeff Monson,Middleweight
Aaron Brink,Heavyweight
John Lewis,Lightweight
Alex Stiebling,Middleweight
Dan Severn,Heavyweight
Laverne Clark,Welterweight
Alexandre Dantas,Middleweight
CJ Fernandes,Welterweight
David Dodd,Middleweight
Alex Andrade,Middleweight
Marcelo Aguiar,Welterweight
Joao Roque,Lightweight
Satoshi Honma,Heavyweight
Koji Oishi,Lightweight
Steve Judson,Heavyweight
Jermaine Andre,Middleweight
Tiki Ghosn,Lightweight
David Velasquez,Lightweight
Brad Gumm,Lightweight
Katsuhisa Fujii,Heavyweight
Jason DeLucia,Middleweight
Keiichiro Yamamiya,Middleweight
Daiju Takase,Open Weight
Masutatsu Yano,Open Weight
Jason Godsey,Heavyweight
Valeri Ignatov,Lightweight
Lowell Anderson,Middleweight
Alfonso Alcarez,Lightweight
Marco Ruas,Heavyweight
Andre Pederneiras,Welterweight
Daiju Takase,Middleweight
Flavio Luiz Moura,Middleweight
Royce Alger,Middleweight
Travis Fulton,Heavyweight
Tony Petarra,Middleweight
David Roberts,Lightweight
Chris Condo,Heavyweight
Guy Mezger,Middleweight
Valeri Ignatov,Middleweight
Joey Roberts,Heavyweight
Jorge Patino,Welterweight
Townsend Saunders,Lightweight
Darrel Gholar,Middleweight
Frank Caracci,Lightweight
John Lober,Light Heavyweight
Mikey Burnett,Welterweight
Hugo Duarte,Heavyweight
Joe Pardo,Heavyweight
Bob Gilstrap,Middleweight
Allan Goes,Middleweight
Noe Hernandez,Middleweight
Igor Zinoviev,Light Heavyweight
Chris Brennan,Lightweight
Eugenio Tadeu,Lightweight
Marcus Silveira,Heavyweight
Joe Charles,Heavyweight
Kevin Jackson,Light Heavyweight
Yoji Anjo,Heavyweight
Carlos Barreto,Heavyweight
Greg Stott,Heavyweight
Houston Dorr,Heavyweight
Harry Moskowitz,Heavyweight
Brian Johnston,Heavyweight
Moti Horenstein,Heavyweight
Todd Butler,Lightweight
Yuri Vaulin,Lightweight
Sam Fulton,Heavyweight
Donnie Chappell,Lightweight
Tony Halme,Heavyweight
Dmitri Stepanov,Heavyweight
Royce Alger,Lightweight
Christophe Leninger,Lightweight
Saeed Hosseini,Lightweight
Wes Albritton,Lightweight
Nick Sanzo,Lightweight
Jim Mullen,Heavyweight
Wallid Ismail,Lightweight
Rainy Martinez,Lightweight
David Abbott,Catch Weight
Fabio Gurgel,Open Weight
Sam Adkins,Open Weight
Reza Nasri,Open Weight
Julian Sanchez,Open Weight
John Campetella,Open Weight
Moti Horenstein,Open Weight
Scott Fiedler,Open Weight
Dieusel Berto,Open Weight
Amaury Bitetti,Open Weight
Koji Kitao,Open Weight
Matt Andersen,Open Weight
Zane Frazier,Open Weight
Tai Bowden,Open Weight
Gary Goodridge,Catch Weight
Kimo Leopoldo,Catch Weight
Paul Herrera,Open Weight
Joe Moreira,Open Weight
Thomas Ramirez,Open Weight
Paul Varelans,Catch Weight
Larry Cureton,Open Weight
Ryan Parker,Open Weight
Gerry Harris,Open Weight
David Hood,Open Weight
Anthony Macias,Open Weight
Rudyard Moncayo,Open Weight
John Matua,Open Weight
Dave Beneteau,Catch Weight
Joe Charles,Open Weight
Ernie Verdicia,Open Weight
Andy Anderson,Open Weight
Asbel Cancio,Open Weight
Marcus Bossett,Open Weight
Melton Bowen,Open Weight
Joe Son,Open Weight
Ron van Clief,Open Weight
Jason Fairn,Open Weight
Harold Howard,Catch Weight
Felix Lee Mitchell,Open Weight
Roland Payne,Open Weight
Christophe Leninger,Open Weight
Emmanuel Yarborough,Open Weight
Patrick Smith,Catch Weight
Fred Ettish,Open Weight
Minoki Ichihara,Open Weight
Scott Baker,Open Weight
Alberta Cerra Leon,Open Weight
Robert Lucarelli,Open Weight
Thaddeus Luster,Open Weight
David Levicki,Open Weight
Ray Wizard,Open Weight
Sean Daugherty,Open Weight
Gerard Gordeau,Catch Weight
Trent Jenkins,Open Weight
Art Jimmerson,Open Weight
Teila Tuli,Open Weight
