fighter_name,Height,Weight,Reach,Stance,DOB
Kai Kara-France,"5' 5""",125 lbs.,"69""",Orthodox,"Mar 26, 1993"
Kalindra Faria,"5' 7""",125 lbs.,,Switch,"Jul 23, 1986"
Kamaru Usman,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987"
Karen Darabedyan,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986"
Katsuhiko Nagata,"5' 7""",154 lbs.,,Southpaw,"Oct 31, 1973"
Katsuya Inoue,"5' 9""",168 lbs.,,Southpaw,"Aug 10, 1979"
Kazuhiro Hamanaka,"6' 0""",185 lbs.,,Southpaw,"Oct 24, 1978"
Kazuhiro Nakamura,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979"
Kazuki Okubo,"5' 11""",175 lbs.,,Orthodox,
Kazushi Sakuraba,"6' 0""",185 lbs.,,Southpaw,"Jul 14, 1969"
Keiichiro Yamamiya,"5' 11""",185 lbs.,,Southpaw,"Jul 12, 1972"
Keita Nakamura,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984"
Keith Hackney,"5' 11""",200 lbs.,,Sideways,
Keith Jardine,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975"
Kelly Faszholz,"5' 8""",135 lbs.,"67""",Orthodox,"Apr 09, 1985"
Kemran Lachinov,,170 lbs.,,,
Ken Kaneko,"6' 0""",161 lbs.,,Orthodox,
Kengo Ura,"5' 9""",165 lbs.,,,"Jun 20, 1981"
Kenichi Yamamoto,"6' 0""",170 lbs.,,Orthodox,"Jul 11, 1976"
Kenyon Jackson,"6' 0""",185 lbs.,,,
Kevin Aguilar,"5' 7""",145 lbs.,"73""",Orthodox,"Sep 07, 1988"
Kevin Ferguson,"6' 2""",235 lbs.,,Orthodox,"Feb 08, 1974"
Kevin Haley,"6' 2""",205 lbs.,,,
Kevin Jackson,"5' 10""",199 lbs.,,Switch,
Kevin Randleman,"5' 10""",205 lbs.,,Orthodox,"Aug 10, 1971"
Khadis Ibragimov,"6' 2""",205 lbs.,,,"May 21, 1995"
Khalid Taha,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992"
Kiyoshi Tamura,"5' 11""",185 lbs.,,Southpaw,"Dec 17, 1969"
Koji Oishi,"5' 8""",170 lbs.,,Orthodox,"May 31, 1977"
Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993"
Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987"
Lando Vannata,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992"
Larissa Pacheco,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 07, 1994"
Leon Edwards,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989"
Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
Linton Vassell,"6' 4""",205 lbs.,,,"Jun 03, 1983"
Lionel Lanham,,205 lbs.,,,"Aug 31, 1980"
Lloyd Van Dams,"6' 1""",240 lbs.,,Southpaw,"Mar 05, 1972"
Logan Nail,,185 lbs.,,,"Jun 20, 1989"
Lorenz Larkin,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
Louis Jauregui,"5' 7""",170 lbs.,,,
Lucas Gamaza,,170 lbs.,,,
Luis Ramos,"5' 8""",170 lbs.,,Orthodox,"Jan 18, 1981"
Luiz Cane,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981"
Lukasz Sajewski,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990"
Luke Zachrich,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981"
Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978"
Mac Danzig,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980"
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,"Mar 08, 1981"
Mairbek Taisumov,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988"
Makoto Takimoto,"5' 7""",205 lbs.,,Southpaw,"Dec 08, 1979"
Manny Tapia,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981"
Manny Vazquez,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993"
Manvel Gamburyan,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981"
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,
Marcin Bandel,"5' 10""",155 lbs.,"70""",Orthodox,"Oct 10, 1989"
Marcos Galvao,"5' 7""",135 lbs.,,Orthodox,"Jun 23, 1981"
Marcos da Matta,"5' 4""",145 lbs.,,,"Mar 18, 1973"
Marius Zaromskis,"5' 9""",170 lbs.,,Orthodox,"Jul 30, 1980"
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986"
Mark Hall,"6' 0""",190 lbs.,,Orthodox,
Marko Damiani,"6' 0""",170 lbs.,,,
Marques Daniels,,155 lbs.,,,
Martin Kampmann,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982"
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971"
Masakatsu Okuda,,,,,
Masakazu Imanari,"5' 4""",139 lbs.,,Southpaw,"Feb 10, 1976"
Masanori Kanehara,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982"
Masutatsu Yano,"5' 9""",198 lbs.,,Orthodox,"Jul 11, 1975"
Matt Hamill,"6' 1""",205 lbs.,"76""",Orthodox,"Oct 05, 1976"
Matt Ramirez,"5' 5""",125 lbs.,,,
Matt Van Buren,"6' 5""",205 lbs.,"76""",,"Jun 12, 1986"
Matt Veach,"5' 11""",155 lbs.,,Orthodox,"May 31, 1981"
Maurice Eazel,"5' 7""",135 lbs.,,,
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998"
Mehdi Baghdad,"6' 1""",155 lbs.,"75""",Orthodox,"Apr 13, 1985"
Melinda Fabian,"5' 6""",125 lbs.,"66""",,"Jun 25, 1987"
Michael Page,"6' 2""",170 lbs.,,,"Apr 07, 1987"
Michal Oleksiejczuk,"6' 0""",205 lbs.,"74""",Southpaw,"Feb 22, 1995"
Michel Quinones,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 22, 1984"
Michinori Tanaka,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990"
Michiyoshi Ohara,"5' 10""",205 lbs.,,Orthodox,
Mickey Gall,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992"
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992"
Mike Aina,"5' 9""",155 lbs.,,Orthodox,
Mike Campbell,"5' 9""",155 lbs.,,Southpaw,
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984"
Mike Jackson,"6' 2""",170 lbs.,,Orthodox,"Mar 22, 1985"
Mike Zichelle,,205 lbs.,,,
Mike van Arsdale,"6' 2""",205 lbs.,,Switch,"Jun 20, 1965"
Mikhail Iloukhine,"5' 9""",205 lbs.,,Orthodox,"Nov 21, 1966"
Minoki Ichihara,"5' 7""",178 lbs.,,Orthodox,
Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984"
Montel Jackson,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992"
Muin Gafurov,"5' 7""",135 lbs.,,,"May 17, 1996"
Muslim Salikhov,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984"
Nad Narimani,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987"
Nadia Kassem,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995"
Naoki Inoue,"5' 9""",125 lbs.,"71""",Orthodox,"Jun 14, 1997"
Naoya Ogawa,"6' 4""",255 lbs.,,Orthodox,"Mar 31, 1968"
Nate James,"6' 0""",185 lbs.,,,"May 29, 1978"
Nate Quarry,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972"
Neil Wain,"5' 10""",242 lbs.,,Orthodox,
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,"Jan 13, 1979"
Nick Pace,"5' 7""",135 lbs.,"68""",Orthodox,"Apr 17, 1987"
Nick Urso,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 26, 1985"
Nicolas Dalby,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984"
Niklas Backstrom,"6' 1""",145 lbs.,"74""",Orthodox,"Aug 22, 1989"
Noad Lahat,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984"
Nobuhiko Takada,"6' 0""",220 lbs.,,Southpaw,"Apr 12, 1962"
Nobuhiro Obiya,"5' 8""",145 lbs.,,Orthodox,"Jan 15, 1981"
Nordine Taleb,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981"
Norifumi Yamamoto,"5' 4""",135 lbs.,"66""",Southpaw,"Mar 15, 1977"
Oleg Taktarov,"6' 0""",210 lbs.,,Orthodox,"Aug 26, 1967"
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987"
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
Osamu Tachihikari,"6' 5""",300 lbs.,,Orthodox,
Ovince Saint Preux,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983"
Paige VanZant,"5' 4""",115 lbs.,"65""",Orthodox,"Mar 26, 1994"
Papy Abedi,"5' 11""",185 lbs.,"74""",Southpaw,"Jun 30, 1978"
Patrick Kaase,"5' 9""",185 lbs.,,,
Patrick Walsh,"5' 11""",185 lbs.,"71""",,"Nov 28, 1988"
Paul Daley,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983"
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984"
Paul Varelans,"6' 8""",300 lbs.,,Orthodox,
Pawel Nastula,"6' 0""",230 lbs.,,Southpaw,"Jun 26, 1970"
Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,
Pete Sabala,,135 lbs.,,,
Petr Yan,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993"
Piotr Hallmann,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987"
Priscila Cachoeira,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988"
Rafael Natal,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 25, 1982"
Rampage Jackson,"6' 1""",205 lbs.,"73""",Orthodox,"Jun 20, 1978"
Randall Wallace,"5' 11""",185 lbs.,"73""",Orthodox,"Mar 01, 1989"
Rani Yahya,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984"
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987"
Raou Raou,"5' 8""",195 lbs.,,Orthodox,
Raquel Pa'aluhi,"5' 7""",135 lbs.,,,
Raulian Paiva,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 17, 1995"
Raymond Daniels,"6' 2""",185 lbs.,,Southpaw,
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,"May 14, 1982"
Renan Barao,"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987"
Reza Madadi,"5' 11""",155 lbs.,"72""",Orthodox,"Jun 20, 1978"
Reza Nasri,"5' 11""",205 lbs.,,Orthodox,
Rhadi Ferguson,"5' 7""",205 lbs.,,,
Ricardo Abreu,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 27, 1984"
Ricardo Lamas,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
Ricardo Palacios,"5' 6""",145 lbs.,,Orthodox,"Jul 05, 1987"
Ricardo Ramos,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995"
Richard Dalton,"6' 1""",205 lbs.,,Orthodox,
Richard Odoms,"6' 5""",265 lbs.,"82""",Orthodox,"May 08, 1975"
Richard Walsh,"6' 0""",170 lbs.,"73""",,"Dec 01, 1988"
Richie Vaculik,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983"
Ricky Rainey,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983"
Rin Nakai,"5' 1""",135 lbs.,"60""",Orthodox,"Oct 22, 1986"
Rob MacDonald,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978"
Rodney Faverus,"6' 0""",215 lbs.,,Southpaw,
Rodney Wallace,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981"
Rodrigo Damm,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980"
Roger Narvaez,"6' 3""",185 lbs.,"79""",Southpaw,"Sep 09, 1983"
Roger Zapata,"5' 11""",170 lbs.,"74""",Southpaw,"May 09, 1986"
Roman Salazar,"5' 7""",135 lbs.,"67""",Orthodox,"Feb 21, 1988"
Roman Zentsov,"6' 1""",230 lbs.,,Orthodox,"Sep 10, 1973"
Ron Faircloth,"5' 9""",205 lbs.,,Orthodox,"Aug 16, 1979"
Ron van Clief,"5' 10""",190 lbs.,,Orthodox,"Jan 25, 1943"
Ronaldo Candido,"5' 6""",125 lbs.,,Southpaw,"Apr 24, 1989"
Rony Jason,"5' 7""",145 lbs.,"70""",Orthodox,"Mar 21, 1984"
Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989"
Rose Namajunas,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992"
Ross Ebanez,"5' 9""",154 lbs.,,Southpaw,"May 18, 1975"
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991"
Rousimar Palhares,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980"
Rubens Xavier,"6' 3""",220 lbs.,,Orthodox,
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983"
Ryan Hall,"5' 10""",155 lbs.,"71""",,"Feb 22, 1985"
Ryan Janes,"6' 3""",185 lbs.,"76""",Orthodox,"Aug 22, 1981"
Ryan LaFlare,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983"
Ryan MacDonald,"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993"
Ryan Madigan,"6' 0""",170 lbs.,,Orthodox,
Ryan Quinn,"5' 8""",145 lbs.,,,
Ryuki Ueyama,"5' 11""",180 lbs.,,Southpaw,"Apr 17, 1976"
Ryuta Sakurai,"5' 7""",183 lbs.,,Orthodox,
Sai Wang,"6' 0""",170 lbs.,"72""",Southpaw,"Jan 14, 1986"
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,"Apr 26, 1965"
Saparbeg Safarov,"6' 1""",205 lbs.,"78""",Orthodox,"Oct 14, 1986"
Sarah D'alelio,"5' 7""",145 lbs.,,,"Dec 13, 1980"
Sarah Kaufman,"5' 5""",135 lbs.,"67""",Orthodox,"Sep 20, 1985"
Saul Elizondo,"5' 7""",135 lbs.,,,"Jul 17, 1985"
Scott Adams,"6' 0""",225 lbs.,,Southpaw,
Scott Baker,"6' 0""",210 lbs.,,,
Sean Daugherty,"6' 0""",175 lbs.,,,"Dec 04, 1975"
Sean Gannon,"6' 3""",265 lbs.,,Southpaw,
Sean Lally,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 04, 1990"
Sean O'Connell,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 02, 1983"
Sean O'Haire,"6' 5""",270 lbs.,,Orthodox,"Feb 25, 1971"
Sean O'Malley,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994"
Sean Salmon,"5' 10""",185 lbs.,,Southpaw,"Sep 11, 1977"
Seichi Ikemoto,"5' 11""",168 lbs.,,Orthodox,"Aug 24, 1975"
Seohee Ham,"5' 2""",115 lbs.,"62""",Southpaw,"Mar 08, 1987"
Sergey Ignatov,"5' 9""",210 lbs.,,Orthodox,
Seth Baczynski,"6' 3""",170 lbs.,"74""",Orthodox,"Oct 26, 1981"
Shamar Bailey,"5' 9""",155 lbs.,"75""",,"Sep 22, 1982"
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
Shane Campbell,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987"
Sheila Gaff,"5' 5""",135 lbs.,"62""",Orthodox,"Dec 29, 1989"
Sirwan Kakai,"5' 5""",135 lbs.,"66""",Orthodox,"Oct 03, 1989"
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984"
Soa Palelei,"6' 4""",265 lbs.,"81""",Orthodox,"Jul 12, 1977"
Song Yadong,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997"
Stephen Banaszak,"6' 0""",145 lbs.,,,"Dec 07, 1990"
Stephen Palling,"5' 4""",143 lbs.,,,"Jan 29, 1967"
Steve Hadsel,"5' 8""",170 lbs.,,,
Steve Ramirez,"5' 7""",125 lbs.,,,
Stoney Hale,"6' 0""",,,,"Oct 18, 1979"
TJ O'Brien,"6' 2""",155 lbs.,,Orthodox,"Jan 01, 1987"
TJ Waldburger,"5' 11""",170 lbs.,"75""",Orthodox,"Apr 25, 1988"
Tadao Yasuda,"6' 4""",310 lbs.,,Orthodox,"Oct 09, 1963"
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983"
Takahiro Oba,"5' 8""",200 lbs.,,Southpaw,
Takayuki Okada,"6' 1""",290 lbs.,,Orthodox,
Takeshi Inoue,"5' 8""",145 lbs.,,,"Mar 18, 1980"
Takeshi Yamazaki,"5' 8""",139 lbs.,,Southpaw,
Tarec Saffiedine,"5' 10""",170 lbs.,"70""",Switch,"Sep 06, 1986"
Taylor Lapilus,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992"
Te Edwards,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990"
Teemu Packalen,"6' 1""",155 lbs.,"72""",Orthodox,"May 22, 1987"
Tetsuji Kato,,155 lbs.,,Orthodox,
Thomas Campbell,,,,,
Thomas Ramirez,"6' 1""",410 lbs.,,Sideways,
Tiequan Zhang,"5' 8""",155 lbs.,"70""",Orthodox,"Jul 25, 1978"
Tim Hague,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983"
Tim Lajcik,"6' 1""",225 lbs.,,Orthodox,"Jun 21, 1965"
Tina Lahdemaki,"5' 2""",115 lbs.,"62""",Orthodox,"May 28, 1988"
Todd Lally,"5' 7""",145 lbs.,,Orthodox,
Tom Aaron,,155 lbs.,,,"Jul 13, 1978"
Tom Egan,"5' 11""",170 lbs.,,Orthodox,
Tom Gallicchio,"5' 10""",170 lbs.,"73""",Southpaw,"Sep 23, 1986"
Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984"
Tony Halme,"6' 3""",300 lbs.,,Orthodox,"Jan 06, 1963"
Travis Calanoc,"5' 8""",145 lbs.,,Orthodox,
Travis Galbraith,"6' 0""",170 lbs.,,Orthodox,"May 18, 1981"
Tsuyoshi Tamakairiki,"6' 0""",220 lbs.,,Orthodox,
Tulio Palhares,,180 lbs.,,,
Turrell Galloway,"5' 3""",145 lbs.,,,
Uriah Hall,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984"
Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979"
Valeri Ignatov,"5' 9""",170 lbs.,,Orthodox,
Vernon Ramos,"5' 6""",170 lbs.,"72""",Orthodox,"Jun 03, 1992"
Veronica Macedo,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995"
Victor Valenzuela,"5' 10""",155 lbs.,,,
Victor Valimaki,"6' 0""",205 lbs.,,Orthodox,
Vincent Eazelle,"5' 11""",155 lbs.,,,"Dec 07, 1980"
Vinicius Magalhaes,,145 lbs.,,,"Jul 30, 1971"
Vinicius Queiroz,"6' 7""",220 lbs.,,,"Aug 29, 1983"
Vinny Magalhaes,"6' 3""",205 lbs.,"79""",Orthodox,"Jul 02, 1984"
Virna Jandiroba,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988"
Volkan Oezdemir,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989"
Wagner Campos,"5' 6""",145 lbs.,,Southpaw,"Jul 31, 1981"
Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975"
Wataru Sakata,"5' 9""",195 lbs.,,Southpaw,"Mar 11, 1973"
Weili Zhang,"5' 4""",115 lbs.,,Switch,"Aug 13, 1989"
Will Campuzano,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986"
William Patolino,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991"
Wu Yanan,"5' 8""",125 lbs.,"66""",Orthodox,"Apr 18, 1996"
Yan Cabral,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983"
Yan Xiaonan,"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989"
Yao Zhikui,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991"
Yasuhiro Urushitani,"5' 5""",125 lbs.,,Southpaw,"Sep 08, 1976"
Yasuhito Namekawa,"5' 9""",205 lbs.,,Orthodox,"Oct 27, 1974"
Yazan Hajeh,"5' 9""",145 lbs.,"73""",Orthodox,"Sep 04, 1992"
Yohan Banks,,,,,
Yoko Takahashi,"5' 8""",150 lbs.,,,"Apr 20, 1973"
Yoshiaki Yatsu,"6' 1""",165 lbs.,,Orthodox,"Jul 19, 1956"
Yoshihiro Akiyama,"5' 10""",170 lbs.,"73""",Orthodox,"Jul 29, 1975"
Yoshihiro Nakao,"6' 0""",220 lbs.,,Southpaw,"Jun 25, 1972"
Yoshihiro Takayama,"6' 5""",280 lbs.,,Orthodox,"Sep 19, 1968"
Yoshihisa Yamamoto,"6' 2""",220 lbs.,,Southpaw,"Jul 04, 1970"
Yoshiki Takahashi,"5' 11""",199 lbs.,,Southpaw,"Mar 13, 1969"
Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981"
Yui Chul Nam,"5' 9""",145 lbs.,"69""",Orthodox,"Jul 16, 1981"
Yuji Nagata,"6' 0""",225 lbs.,,Orthodox,"Apr 24, 1968"
Yukio Sakaguchi,"5' 9""",185 lbs.,,Orthodox,"Jul 26, 1973"
Yukiya Naito,"6' 1""",205 lbs.,,Orthodox,
Yuri Vaulin,"6' 4""",197 lbs.,,Southpaw,
Yusaku Nakamura,"5' 5""",145 lbs.,,,"Jun 21, 1986"
Yushin Okami,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981"
Yusuke Imamura,"5' 8""",220 lbs.,,Orthodox,
Yusuke Kasuya,"5' 7""",155 lbs.,"67""",Southpaw,"Nov 16, 1989"
Yusuke Kawaguchi,"6' 0""",255 lbs.,,,"Aug 14, 1980"
Yusup Saadulaev,"5' 6""",135 lbs.,,,"Mar 31, 1985"
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976"
Yves Jabouin,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979"
Zach Underwood,"6' 2""",185 lbs.,,,
Zach Zane,"5' 7""",145 lbs.,"69""",Southpaw,"Dec 14, 1989"
Zarah Fairn dos Santos,"5' 10""",145 lbs.,,,"Dec 12, 1986"
Zelg Galesic,"6' 2""",185 lbs.,,Orthodox,"Feb 16, 1979"
Zelim Imadaev,"6' 0""",170 lbs.,"76""",Orthodox,"Jan 25, 1995"
Zhang Lipeng,"5' 11""",155 lbs.,"71""",Southpaw,"Mar 10, 1990"
